text,text_processed,cyberbullying_type,severity_level,original_cyberbullying_type,original_severity_level,source_dataset,source_file,original_row_id,actual_label,predicted_label,is_correct,confidence_score,char_count,word_count
"BONAJUMA ZONE Ngamuk Saat Dirujuk Ke RS, ODGJ Di Aceh Bawa Kabur Ambulans",bonajuma zone ngamuk saat dirujuk ke rs odgj di aceh bawa kabur ambulans,harassment,,"['1', '0']",,indotoxic2024_annotated_data_v2_final,indotoxic2024_annotated_data_v2_final.csv,4263,harassment,normal,False,0.7942298084685125,73,13
"USER ""Aduh.. mau eek""'",user aduh mau eek,normal,,normal,,data,data.csv,6207,normal,hate_speech,False,0.980828431385695,22,4
#MataNajwaDebatJakarta Anies anda SADIS. Topengmu terbuka lebar malam ini. Biar warga DKI yg menilai...apa yg anda katakan adalah PENGECUT,anies anda sadis topengmu terbuka lebar malam ini biar warga dki yg menilai apa yg anda katakan adalah pengecut,hate_speech,,hate_speech,,data,data.csv,6506,hate_speech,harassment,False,1.0228492335971588,138,19
Ahok versi Pakpahan .. Trims kepada semua pihak yg udah ciduk bajingan ini URL,ahok versi pakpahan trims kepada semua pihak yg udah ciduk bajingan ini url,insult,,insult,,data,data.csv,3115,insult,hate_speech,False,1.4266522228805503,78,14
"Yg terjadi hr ini kpd zionis israel adl akibat perbuatan mrk sendiri yg tlah menindas palestina berpuluh2 tahun,",yg terjadi hr ini kpd zionis israel adl akibat perbuatan mrk sendiri yg tlah menindas palestina berpuluh2 tahun,normal,,['0'],,indotoxic2024_annotated_data_v2_final,indotoxic2024_annotated_data_v2_final.csv,16511,normal,harassment,False,1.1864963478026822,112,18
"Kenapa setelah mau lengser baru ngomong seperti ini , seharusnya 2014 atau 2019 lalu , ini namanya cuci tangan , wong penjajahnya semua pasti sudah bapak kenal , terutama Kelompok Taipan etnis Cina 9 Naga, inilah penjajah , perampas tanah warga Pribumi NKRI selama ini.",kenapa setelah mau lengser baru ngomong seperti ini seharusnya 2014 atau 2019 lalu ini namanya cuci tangan wong penjajahnya semua pasti sudah bapak kenal terutama kelompok taipan etnis cina 9 naga inilah penjajah perampas tanah warga pribumi nkri selama ini,normal,,['0'],,indotoxic2024_annotated_data_v2_final,indotoxic2024_annotated_data_v2_final.csv,23152,normal,hate_speech,False,0.8609746832229648,269,45
"Untuk kelima kalinya, penjajah meminta keluarga Palestina meninggalkan rumah mereka dan menuju Gaza selatan. Ketika keluarga2 Palestina turun ke jalan dan menuju ke Gaza selatan, hanya beberapa menit berlalu dan pendudukan mengkhianati mereka, dan pesawat Israel menyerang warga",untuk kelima kalinya penjajah meminta keluarga palestina meninggalkan rumah mereka dan menuju gaza selatan ketika keluarga2 palestina turun ke jalan dan menuju ke gaza selatan hanya beberapa menit berlalu dan pendudukan mengkhianati mereka dan pesawat israel menyerang warga,harassment,,"['0', '1', '0']",,indotoxic2024_annotated_data_v2_final,indotoxic2024_annotated_data_v2_final.csv,18334,harassment,normal,False,1.0310193513840198,278,38
Ya Allah aku tau aku pendosa Tapi tolong 1 aj kabulkan doa kami Ratakan Israel tanpa sisa,ya allah aku tau aku pendosa tapi tolong 1 aj kabulkan doa kami ratakan israel tanpa sisa,harassment,,['1'],,indotoxic2024_annotated_data_v2_final,indotoxic2024_annotated_data_v2_final.csv,11116,harassment,normal,False,1.008639749134851,89,17
"mungkin TPNPB OPM lebih percaya orang China dari pada orang asli Papua yang berjuang dengan caranya sendiri, Mungkin TPNPB OPM kerjasama deng China nanti",mungkin tpnpb opm lebih percaya orang china dari pada orang asli papua yang berjuang dengan caranya sendiri mungkin tpnpb opm kerjasama deng china nanti,harassment,,"['1', '0']",,indotoxic2024_annotated_data_v2_final,indotoxic2024_annotated_data_v2_final.csv,6612,harassment,normal,False,0.8643418037890377,153,24
"Kecacatan LGBT, diberi ruang kononnya kebebasan hak. Hedonisme dirancakkan lagi dengan Radiohead.'",kecacatan lgbt diberi ruang kononnya kebebasan hak hedonisme dirancakkan lagi dengan radiohead,normal,,normal,,data,data.csv,6340,normal,harassment,False,0.8867094576671034,98,12
PARK SEONGHWA BRENGSEKKKKKK GUE GILA GEGARA ELUUUUU ANJING GUE PALING GATAHAN TEMA KERAJAAN GINI ANJINGGGG,park seonghwa brengsekkkkkk gue gila gegara eluuuuu anjing gue paling gatahan tema kerajaan gini anjingggg,harassment,,"['1', '1', '1', '0']",,indotoxic2024_annotated_data_v2_final,indotoxic2024_annotated_data_v2_final.csv,12173,harassment,normal,False,0.8289789757104754,106,15
"🚨 Breaking News 🚨 🔥 Update Korban Di Gaza 🔥 ✍🏻 Ahad (8/10), Pukul 10.32 waktu setempat Menurut Kementerian Kesehatan (sumber Al-Jazeera), dampak agresi militer penjajah israel telah memakan korban warga sipil di Gaza sebanyak 313 orang gugur (di antaranya 20 anak-anak)",breaking news update korban di gaza ahad 8 10 pukul 10 32 waktu setempat menurut kementerian kesehatan sumber al jazeera dampak agresi militer penjajah israel telah memakan korban warga sipil di gaza sebanyak 313 orang gugur di antaranya 20 anak anak,harassment,,"['0', '0', '1', '0']",,indotoxic2024_annotated_data_v2_final,indotoxic2024_annotated_data_v2_final.csv,18054,harassment,normal,False,1.130311233987058,269,42
"AKSI BURUH 
hari ini senin 2 Okt'24 
Bakar baleho gambar Luhut. jkw
E muka kusam Bahlul.
Lengserkan pejabat yg pro cina maksa Gusur rakyat.
MANTAB saudaku",aksi buruh hari ini senin 2 okt 24 bakar baleho gambar luhut jkw e muka kusam bahlul lengserkan pejabat yg pro cina maksa gusur rakyat mantab saudaku,harassment,,"['0', '1']",,indotoxic2024_annotated_data_v2_final,indotoxic2024_annotated_data_v2_final.csv,827,harassment,hate_speech,False,0.7862526600487498,154,26
"gw lagi di gacoan ngagel, sumpah sebelah gw ada gay couple gemezz banget, botty nya lucu mungil bgt omagaaa im so jealous",gw lagi di gacoan ngagel sumpah sebelah gw ada gay couple gemezz banget botty nya lucu mungil bgt omagaaa im so jealous,normal,,['0'],,indotoxic2024_annotated_data_v2_final,indotoxic2024_annotated_data_v2_final.csv,16339,normal,harassment,False,0.9634037692281939,121,22
"Allah Maha Kuasa lagi Maha membolak-balikan hati manusia, semoga orang2 yg masih mendukung zionis dan tertutup akan kenyataan yg sebenarnya bisa terbuka hatinya, aamiin",allah maha kuasa lagi maha membolak balikan hati manusia semoga orang2 yg masih mendukung zionis dan tertutup akan kenyataan yg sebenarnya bisa terbuka hatinya aamiin,normal,,['0'],,indotoxic2024_annotated_data_v2_final,indotoxic2024_annotated_data_v2_final.csv,23019,normal,harassment,False,0.8526630150484135,168,24
"Sheikh Ahmed Yassin, Pendiri Hamas, Meski Lumpuh, Dia Mampu Melawan Israel",sheikh ahmed yassin pendiri hamas meski lumpuh dia mampu melawan israel,harassment,,"['1', '0', '0']",,indotoxic2024_annotated_data_v2_final,indotoxic2024_annotated_data_v2_final.csv,20360,harassment,normal,False,0.9270327913597334,74,11
"RT USER: Rindu ini memang bajingan, datang sepagi ini.\xf0\x9f\x98\xa9'",rt user rindu ini memang bajingan datang sepagi ini xf0 x9f x98 xa9,insult,,insult,,data,data.csv,12957,insult,hate_speech,False,0.9823295787065527,71,9
USER Pendukung rezim ini memang warrrbisah',user pendukung rezim ini memang warrrbisah,normal,,normal,,data,data.csv,1055,normal,hate_speech,False,1.349585836613525,43,6
jangan lupa bahwa joan rivers adalah bajingan istimewa yang terus merengek tentang kurangnya hak untuk menceritakan lelucon menindas,jangan lupa bahwa joan rivers adalah bajingan istimewa yang terus merengek tentang kurangnya hak untuk menceritakan lelucon menindas,normal,,not_cyberbullying,,cyberbullying_cleaned_indo,cyberbullying_cleaned_indo.csv,1360,normal,hate_speech,False,0.8177634559028133,132,18
Ulama Purwakarta Sebut Bupati Dedi Mulyadi Raja Syirik,ulama purwakarta sebut bupati dedi mulyadi raja syirik,hate_speech,,hate_speech,,data,data.csv,11451,hate_speech,normal,False,0.8539910458082194,54,8
Israel laknatullah membunuh anak nak muslim palestina,israel laknatullah membunuh anak nak muslim palestina,normal,,['0'],,indotoxic2024_annotated_data_v2_final,indotoxic2024_annotated_data_v2_final.csv,15390,normal,harassment,False,0.810158431027317,53,7
"Akun pro zionis jadi bulan-bulanan netizen, ""Inilah akibatnya kalo berak yang dibuang "" 😁 ://",akun pro zionis jadi bulan bulanan netizen inilah akibatnya kalo berak yang dibuang,normal,,['0'],,indotoxic2024_annotated_data_v2_final,indotoxic2024_annotated_data_v2_final.csv,9548,normal,harassment,False,0.9292586672185456,93,15
"NEWS UPDATE kumparan Y Tentara Israel serbu RS Al-Shifa, sandera lebih dari 5 ribu pasien, nakes, sampai pengungsi. KETIKA PENGUNGSI BERUBAH MENJADI PENJAJAH YANG BRUTAL
.
BIAS & STANDAR GANDA PARA PEMIMPIN DUNIA MEMBUAT PARA PENJAJAH INI TERUS MERASA AMAN & BEBAS MENJALANKAN SEMUA AKSINYA.

#Repost @kumparancom 
——
kumparancom Pasukan Israel menyerbu kompeks Rumah Sakit Al-Shifa di Jalur Gaza, Kamis (16/11) malam waktu setempat atau Jumat (17/11) dini hari waktu Indonesia. Para tentara itu juga menyandera lebih dari lima ribu orang di dalamnya, termasuk pasien, perawat, dokter, staf rumah sakit, hingga pengungsi. ⁠ 
.
Baca info selengkapnya di link bio. Jangan lupa follow Instagram @kumparancom untuk berita menarik lainnya!⁠ ⁠ 
.
#newsupdate #update #news #oneliner #israel #rsalshifa #rumahsakit #gaza #infoterkini #berita #beritaterkini #kumparan",news update kumparan y tentara israel serbu rs al shifa sandera lebih dari 5 ribu pasien nakes sampai pengungsi ketika pengungsi berubah menjadi penjajah yang brutal bias standar ganda para pemimpin dunia membuat para penjajah ini terus merasa aman bebas menjalankan semua aksinya USER_MENTION kumparancom pasukan israel menyerbu kompeks rumah sakit al shifa di jalur gaza kamis 16 11 malam waktu setempat atau jumat 17 11 dini hari waktu indonesia para tentara itu juga menyandera lebih dari lima ribu orang di dalamnya termasuk pasien perawat dokter staf rumah sakit hingga pengungsi baca info selengkapnya di link bio jangan lupa follow instagram USER_MENTION untuk berita menarik lainnya,harassment,,"['1', '0', '0', '0']",,indotoxic2024_annotated_data_v2_final,indotoxic2024_annotated_data_v2_final.csv,2583,harassment,normal,False,0.822379864780263,859,123
"NEWS UPDATE PREMS PR 107.5 FM Respons Pemkot Bandung soal Diduga ODGJ Viral Berhubungan Badan di Pinggir Jalan Moh Toha Foto: Freepik @prfmnews PMwsC PRFM News Channel 0818811075 Radio PRFM 107,5 News Channel",news update prems pr 107 5 fm respons pemkot bandung soal diduga odgj viral berhubungan badan di pinggir jalan moh toha foto freepik USER_MENTION pmwsc prfm news channel 0818811075 radio prfm 107 5 news channel,harassment,,"['1', '0']",,indotoxic2024_annotated_data_v2_final,indotoxic2024_annotated_data_v2_final.csv,1360,harassment,normal,False,0.9614774581378541,208,33
"INDO ZONE #KAMUHARUSTAU Korban Tewas Serangan Israel di Gaza Tembus 10 Ribu Orang dalam Sebulan Tercatat 10.022 warga Palestina di Gaza tewas sejak konflik Hamas-Israel dimulai pada 7 Oktober. Korban tewas meliputi 104 anak dan 2.641 perempuan. Jumlah korban meninggal dunia, warga Palestina di Gaza mencapai 10.022 orang sejak putaran terbaru konflik Hamas-Israel dimulai pada 7 Oktober. 

Dilansir dari ANTARA, juru bicara kementerian kesehatan Gaza pada Senin (6/11) waktu setempat, Ashraf Al-Qudra, dalam sebuah konferensi pers di Gaza City mengatakan bahwa korban tewas meliputi 4.104 anak dan 2.641 perempuan, sementara korban luka-luka meningkat menjadi 25.408 orang.

Selain itu, terdapat 2.350 laporan orang hilang yang tertimbun reruntuhan, termasuk sekitar 1.300 anak, ujarnya.

Al-Qudra mengatakan bahwa dalam beberapa jam terakhir, pasukan Israel melakukan 19 aksi pembunuhan besar-besaran yang merenggut 252 nyawa.

Menurut juru bicara itu, Israel telah menargetkan 113 fasilitas kesehatan dan 32 ambulans di Gaza sejak 7 Oktober, menewaskan total 192 tenaga kesehatan.

Sekitar 16 rumah sakit dan 32 pusat layanan kesehatan utama telah berhenti beroperasi, tambahnya.

Sementara dari pihak Israel, lebih dari 1.400 orang tewas, sebagian besar akibat serangan Hamas pada 7 Oktober lalu, hingga memicu konflik yang sedang berlangsung saat ini.

Photo: REUTERS/Yasser Qudih

[Baca berita dan informasi menarik lainnya hanya di ]",indo zone korban tewas serangan israel di gaza tembus 10 ribu orang dalam sebulan tercatat 10 022 warga palestina di gaza tewas sejak konflik hamas israel dimulai pada 7 oktober korban tewas meliputi 104 anak dan 2 641 perempuan jumlah korban meninggal dunia warga palestina di gaza mencapai 10 022 orang sejak putaran terbaru konflik hamas israel dimulai pada 7 oktober dilansir dari antara juru bicara kementerian kesehatan gaza pada senin 6 11 waktu setempat ashraf al qudra dalam sebuah konferensi pers di gaza city mengatakan bahwa korban tewas meliputi 4 104 anak dan 2 641 perempuan sementara korban luka luka meningkat menjadi 25 408 orang selain itu terdapat 2 350 laporan orang hilang yang tertimbun reruntuhan termasuk sekitar 1 300 anak ujarnya al qudra mengatakan bahwa dalam beberapa jam terakhir pasukan israel melakukan 19 aksi pembunuhan besar besaran yang merenggut 252 nyawa menurut juru bicara itu israel telah menargetkan 113 fasilitas kesehatan dan 32 ambulans di gaza sejak 7 oktober menewaskan total 192 tenaga kesehatan sekitar 16 rumah sakit dan 32 pusat layanan kesehatan utama telah berhenti beroperasi tambahnya sementara dari pihak israel lebih dari 1 400 orang tewas sebagian besar akibat serangan hamas pada 7 oktober lalu hingga memicu konflik yang sedang berlangsung saat ini photo reuters yasser qudih baca berita dan informasi menarik lainnya hanya di,harassment,,"['1', '0']",,indotoxic2024_annotated_data_v2_final,indotoxic2024_annotated_data_v2_final.csv,1746,harassment,normal,False,1.4353159459765046,1440,204
"Sudah waktunya Amerika' Bubar. Dikit"" sangsi Dikit"" dana dibekukan Sebaiknya negara didunia kiblat Ekonomi ke China",sudah waktunya amerika bubar dikit sangsi dikit dana dibekukan sebaiknya negara didunia kiblat ekonomi ke china,harassment,,"['1', '0', '1', '0']",,indotoxic2024_annotated_data_v2_final,indotoxic2024_annotated_data_v2_final.csv,20909,harassment,normal,False,0.967567978461385,115,16
uga ni cakep banget ya gila emang 😭✋🏻,uga ni cakep banget ya gila emang,harassment,,"['1', '0', '0']",,indotoxic2024_annotated_data_v2_final,indotoxic2024_annotated_data_v2_final.csv,19194,harassment,normal,False,0.886225988436274,37,8
"dau! Minimal sekali seumur hidup kalian cobain takoyaki rizky di jalan sayang dah. Worth it banget enak, abang yg jualannya jg ramah gila",dau minimal sekali seumur hidup kalian cobain takoyaki rizky di jalan sayang dah worth it banget enak abang yg jualannya jg ramah gila,harassment,,"['1', '0']",,indotoxic2024_annotated_data_v2_final,indotoxic2024_annotated_data_v2_final.csv,3121,harassment,normal,False,1.2476546625635343,137,23
Bolot atau emang kagak nyambung? URL,bolot atau emang kagak nyambung url,insult,,insult,,data,data.csv,8603,insult,hate_speech,False,0.8101935328654966,36,6
Pejuang Al-Qassam menguasai pangkalan militer Erez. Dan saat ini pangkalan tersebut berada dalam kontrol pejuang. Milisi Zionis menderita kerugian besar dan melarikan diri. Pertolonga dari Allah dan kemenangan semakin dekat. #Gaza #FreePalenstine,pejuang al qassam menguasai pangkalan militer erez dan saat ini pangkalan tersebut berada dalam kontrol pejuang milisi zionis menderita kerugian besar dan melarikan diri pertolonga dari allah dan kemenangan semakin dekat,harassment,,['1'],,indotoxic2024_annotated_data_v2_final,indotoxic2024_annotated_data_v2_final.csv,20479,harassment,normal,False,0.8284292776987736,246,32
"SEKITAR 100 dokter Israel telah menandatangani surat terbuka yang menyerukan tentaranya untuk mengebom rumah sakit-rumah sakit di Gaza, Palestina. Sumber:",sekitar 100 dokter israel telah menandatangani surat terbuka yang menyerukan tentaranya untuk mengebom rumah sakit rumah sakit di gaza palestina sumber,harassment,,"['1', '0', '1', '0']",,indotoxic2024_annotated_data_v2_final,indotoxic2024_annotated_data_v2_final.csv,12195,harassment,normal,False,1.1348896172104843,154,20
Pan kapan iwake tak parani maning Misal esih idiot berarti fix jeneng iwake idiot bastard fish waras wutuh,pan kapan iwake tak parani maning misal esih idiot berarti fix jeneng iwake idiot bastard fish waras wutuh,normal,,['0'],,indotoxic2024_annotated_data_v2_final,indotoxic2024_annotated_data_v2_final.csv,7472,normal,harassment,False,0.8853594831836947,106,18
"@narkosun Gila orang yang milih Prabowo. Kalau dapat sesuatu saya maklum. Kalau enggak dapat apa-apa, sama aja kamu menghancurkan negeri ini",USER_MENTION gila orang yang milih prabowo kalau dapat sesuatu saya maklum kalau enggak dapat apa apa sama aja kamu menghancurkan negeri ini,normal,,['0'],,indotoxic2024_annotated_data_v2_final,indotoxic2024_annotated_data_v2_final.csv,25537,normal,harassment,False,0.83965592590188,140,21
Saya curiga orang ini buzzer yg dibiayai zionis untuk memperbaiki citra Israel di Indonesia. Semoga kita dilindungi dari fitnah antek-antek zionis,saya curiga orang ini buzzer yg dibiayai zionis untuk memperbaiki citra israel di indonesia semoga kita dilindungi dari fitnah antek antek zionis,normal,,['0'],,indotoxic2024_annotated_data_v2_final,indotoxic2024_annotated_data_v2_final.csv,23370,normal,harassment,False,1.2850557657700383,146,21
"BOT mau nanya. 'ich liebe dich' artinya apa? Yg jawab ntar BOT kasih aipet yg barusan nyemplung di jamban kuda (\xe2\x80\xa2\xcc\xaf\xcd\xa1_\xe2\x80\xa2\xcc\xaf\xcd\xa1 )""",bot mau nanya ich liebe dich artinya apa yg jawab ntar bot kasih aipet yg barusan nyemplung di jamban kuda xe2 x80 xa2 xcc xaf xcd xa1_ xe2 x80 xa2 xcc xaf xcd xa1,insult,,insult,,data,data.csv,423,insult,normal,False,0.910347556748541,172,22
USER Dasar cebong.. hih!\n\xf0\x9f\x98\xab\xf0\x9f\x98\xa,user dasar cebong hih n xf0 x9f x98 xab xf0 x9f x98 xa,insult,,insult,,data,data.csv,3566,insult,hate_speech,False,1.8466093926037987,57,4
"INGATLAH SEJARAH KEJAM SYIAH BATHINIYAH DAN SYIAH RAFIDHAH!!! (Edisi 2) ✅ Syaikhul Islam Ibnu Taimiyah rahimahullahu berkata: Tidaklah agama Nabi Muhammad ﷺ tegak di atas semua agama, melainkan dengan Ahlussunnah. Sebagaimana Islam tegak/menang di zaman kekhalifahan Abu Bakar, Umar dan Utsman Radhiyallahu 'anhum dengan kemenangan yang tidak pernah dialami oleh agama-agama yang  Adapun Syiah Rafidhah, kalau mereka tidak membantu musuh-musuh Islam, maka mereka tidak menolong kedua belah pihak. (Fatwa Dan Pendirian Ulama Sunni Terhadap Aqidah Syiah hal. 21-22 oleh Ustadz Muhammad Umar Ba'abdullah rahimahullahu) Masih percaya kalau mereka membantu kaum muslimin memerangi orang-orang Y4hud1?! Bukankah Syiah Rafidhah adalah buatan Abdullah bin Saba' Al-Yahudi?! اللَّهُمَّ إنَّا نَجْعَلُكَ فِي نُحُوْرِهِمْ ونَعُوْذُ بِكَ مِنْ شُرُوْرِهِمْ اللَّهُمَّ انْصُر الْمُسْلِمِيْنَ الْمُسْتَضْعَفِيْنَ فِي كُلِّ مَكَان وفِي فَلَسْطِيْن اللَّهُمَّ أَهْلِك الْيَهُوْدَ الْمُجْرِمِيْنَ وشَتِّتْ شَمْلَهُمْ وفَرِّقْ جَمْعَهُمْ واجْعَلْ كَيْدَهُمْ فِي نُحُوْرِهِمْ ------------------------- [*] Lebih tepatnya dikatakan Syiah Rafidhah.",ingatlah sejarah kejam syiah bathiniyah dan syiah rafidhah edisi 2 syaikhul islam ibnu taimiyah rahimahullahu berkata tidaklah agama nabi muhammad ﷺ tegak di atas semua agama melainkan dengan ahlussunnah sebagaimana islam tegak menang di zaman kekhalifahan abu bakar umar dan utsman radhiyallahu anhum dengan kemenangan yang tidak pernah dialami oleh agama agama yang adapun syiah rafidhah kalau mereka tidak membantu musuh musuh islam maka mereka tidak menolong kedua belah pihak fatwa dan pendirian ulama sunni terhadap aqidah syiah hal 21 22 oleh ustadz muhammad umar ba abdullah rahimahullahu masih percaya kalau mereka membantu kaum muslimin memerangi orang orang y4hud1 bukankah syiah rafidhah adalah buatan abdullah bin saba al yahudi الل ه م إن ا ن ج ع ل ك ف ي ن ح و ر ه م ون ع و ذ ب ك م ن ش ر و ر ه م الل ه م ان ص ر ال م س ل م ي ن ال م س ت ض ع ف ي ن ف ي ك ل م ك ان وف ي ف ل س ط ي ن الل ه م أ ه ل ك ال ي ه و د ال م ج ر م ي ن وش ت ت ش م ل ه م وف ر ق ج م ع ه م واج ع ل ك ي د ه م ف ي ن ح و ر ه م lebih tepatnya dikatakan syiah rafidhah,normal,,"['0', '0']",,indotoxic2024_annotated_data_v2_final,indotoxic2024_annotated_data_v2_final.csv,6683,normal,harassment,False,1.059734060036515,1126,140
"ALHAMDULILLAH DAPAT TIKET @rahasiabulan SEE U CENGGGGG!!!!! GUA NANGIS DAN EXCITED BAGET,TEMEN GUA BILANG GUA GILA,YAKALI GA GILA NJG😁😁😁",alhamdulillah dapat tiket USER_MENTION see u cenggggg gua nangis dan excited baget temen gua bilang gua gila yakali ga gila njg,harassment,,"['1', '0', '0']",,indotoxic2024_annotated_data_v2_final,indotoxic2024_annotated_data_v2_final.csv,19286,harassment,normal,False,0.8756636973245725,136,19
Saya curiga orang ini buzzer yg dibiayai zionis untuk memperbaiki citra Israel di Indonesia. Semoga kita dilindungi dari fitnah antek-antek zionis,saya curiga orang ini buzzer yg dibiayai zionis untuk memperbaiki citra israel di indonesia semoga kita dilindungi dari fitnah antek antek zionis,normal,,['0'],,indotoxic2024_annotated_data_v2_final,indotoxic2024_annotated_data_v2_final.csv,13986,normal,harassment,False,1.2850557657700383,146,21
Dikiranya Islam itu seperti soto yang rasanya setiap negara/daerah bisa modifikasi sendiri 🤦🏽‍♂️ ======= China Ingin Gabungkan Islam dengan Konghucu dan Rilis Al-Qur'an Versinya Sendiri,dikiranya islam itu seperti soto yang rasanya setiap negara daerah bisa modifikasi sendiri china ingin gabungkan islam dengan konghucu dan rilis al qur an versinya sendiri,harassment,,"['1', '0']",,indotoxic2024_annotated_data_v2_final,indotoxic2024_annotated_data_v2_final.csv,1968,harassment,normal,False,1.0324777452471494,185,25
kata gue lu sbs dah gila 😭😭😭,kata gue lu sbs dah gila,harassment,,"['1', '0']",,indotoxic2024_annotated_data_v2_final,indotoxic2024_annotated_data_v2_final.csv,12631,harassment,normal,False,1.2689531870488124,28,7
