model,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_alpha,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score,param_C,param_max_iter,param_solver
NaiveBayes,0.134653902053833,0.027161867039621385,0.036501169204711914,0.007306143437882296,0.1,{'alpha': 0.1},0.4080260165593159,0.42844916376007497,0.43191858305803005,0.40898773738489297,0.43050066884101695,0.4215764339206662,0.01073243238297037,1,0.5733683631668728,0.567383267844289,0.5634175251667871,0.568930292119354,0.5689756723965651,0.5684150241387737,0.0031985906932360405,,,
NaiveBayes,0.12262606620788574,0.013403280833525244,0.036449098587036134,0.005604179145588568,0.5,{'alpha': 0.5},0.3389792269107721,0.34405148073655395,0.3539831722101742,0.34181333216777104,0.3391159224826859,0.3435886269015914,0.005525651641768829,2,0.41139677480031606,0.4118554694843959,0.4026592674406512,0.41003735166175964,0.4080944705942405,0.40880866679627265,0.0033411424635755864,,,
NaiveBayes,0.11314902305603028,0.003624897659232891,0.033329439163208005,0.007035605809191141,1.0,{'alpha': 1.0},0.2790005905743665,0.28124064589055403,0.2797594109542389,0.28389841147294675,0.27568559034919926,0.2799169298482611,0.002697151976122582,3,0.3174887318907291,0.3138004470865954,0.31139918012797624,0.31583695206207546,0.31725641663273313,0.31515634556002187,0.0022920864936012003,,,
NaiveBayes,0.07191896438598633,0.011911094335766774,0.028016328811645508,0.00676134961485029,2.0,{'alpha': 2.0},0.21237998444465647,0.21003505480676413,0.21253107035864324,0.211618133910172,0.2136427392826151,0.21204139656057017,0.0011935894772913498,4,0.23136216909139287,0.23001689257738997,0.2273190045205624,0.23142363605264804,0.22899561022533263,0.2298234624934652,0.001544230405559343,,,
NaiveBayes,0.0846430778503418,0.011232451989694347,0.027854299545288085,0.0009451275822365271,5.0,{'alpha': 5.0},0.15772700807686293,0.15795589855996234,0.15797270637895125,0.16086206141699175,0.1574330368625841,0.1583901422590705,0.0012513194884696411,5,0.1623081712443329,0.16214332383060606,0.16024322970040963,0.1614037828397887,0.16228811480704583,0.16167732448443664,0.0007898912234257479,,,
LogisticRegression,3.47344970703125,0.2060537909600421,0.08643965721130371,0.03768499820416903,,"{'C': 0.01, 'max_iter': 500, 'solver': 'lbfgs'}",0.13549941979826832,0.13549941979826832,0.13549941979826832,0.13549941979826832,0.1354938547153528,0.13549830678168523,2.2260331662082856e-06,10,0.13549802871382877,0.13549802871382877,0.13549802871382877,0.13549802871382877,0.13564843700558615,0.13552811037218024,6.0163316702954714e-05,0.01,500.0,lbfgs
LogisticRegression,3.157154893875122,0.12364965027579883,0.07185063362121583,0.022140146489502136,,"{'C': 0.01, 'max_iter': 1000, 'solver': 'lbfgs'}",0.13549941979826832,0.13549941979826832,0.13549941979826832,0.13549941979826832,0.1354938547153528,0.13549830678168523,2.2260331662082856e-06,10,0.13549802871382877,0.13549802871382877,0.13549802871382877,0.13549802871382877,0.13564843700558615,0.13552811037218024,6.0163316702954714e-05,0.01,1000.0,lbfgs
LogisticRegression,3.4177639484405518,0.5240073867609788,0.07598581314086914,0.008296009271030889,,"{'C': 0.01, 'max_iter': 2000, 'solver': 'lbfgs'}",0.13549941979826832,0.13549941979826832,0.13549941979826832,0.13549941979826832,0.1354938547153528,0.13549830678168523,2.2260331662082856e-06,10,0.13549802871382877,0.13549802871382877,0.13549802871382877,0.13549802871382877,0.13564843700558615,0.13552811037218024,6.0163316702954714e-05,0.01,2000.0,lbfgs
LogisticRegression,8.75368275642395,0.797746369697723,0.1047677993774414,0.06184804134287697,,"{'C': 0.1, 'max_iter': 500, 'solver': 'lbfgs'}",0.2832641027233174,0.27505836269148937,0.27207522951661706,0.2742086986649899,0.27155572093813735,0.2752324229069102,0.004220715494469146,7,0.28857944998431,0.2855592359470383,0.2861105511921109,0.2876177973649526,0.28615622524386364,0.28680465194645505,0.001119321902243968,0.1,500.0,lbfgs
LogisticRegression,8.651430368423462,0.726795629899214,0.08646583557128906,0.011383250082420302,,"{'C': 0.1, 'max_iter': 1000, 'solver': 'lbfgs'}",0.2832641027233174,0.27505836269148937,0.27207522951661706,0.2742086986649899,0.27155572093813735,0.2752324229069102,0.004220715494469146,7,0.28857944998431,0.2855592359470383,0.2861105511921109,0.2876177973649526,0.28615622524386364,0.28680465194645505,0.001119321902243968,0.1,1000.0,lbfgs
LogisticRegression,8.858781051635741,0.2521377841555025,0.06600899696350097,0.014704746687364269,,"{'C': 0.1, 'max_iter': 2000, 'solver': 'lbfgs'}",0.2832641027233174,0.27505836269148937,0.27207522951661706,0.2742086986649899,0.27155572093813735,0.2752324229069102,0.004220715494469146,7,0.28857944998431,0.2855592359470383,0.2861105511921109,0.2876177973649526,0.28615622524386364,0.28680465194645505,0.001119321902243968,0.1,2000.0,lbfgs
LogisticRegression,20.190495777130128,2.8330090696221886,0.07605810165405273,0.009119340543968062,,"{'C': 1.0, 'max_iter': 500, 'solver': 'lbfgs'}",0.4316948024240983,0.43278271911510807,0.452031375070404,0.43439619919846306,0.4305648253722989,0.43629398423607446,0.007969589395911508,4,0.5143299862312355,0.5056977873133482,0.5032717204161714,0.5049494299875411,0.5037803274032119,0.5064058502703016,0.004052914610168157,1.0,500.0,lbfgs
LogisticRegression,20.438494873046874,1.8778512060211008,0.07513899803161621,0.009601692939970763,,"{'C': 1.0, 'max_iter': 1000, 'solver': 'lbfgs'}",0.4316948024240983,0.43278271911510807,0.452031375070404,0.43439619919846306,0.4305648253722989,0.43629398423607446,0.007969589395911508,4,0.5143299862312355,0.5056977873133482,0.5032717204161714,0.5049494299875411,0.5037803274032119,0.5064058502703016,0.004052914610168157,1.0,1000.0,lbfgs
LogisticRegression,21.28232216835022,1.4748996644575552,0.09811363220214844,0.03206194752516876,,"{'C': 1.0, 'max_iter': 2000, 'solver': 'lbfgs'}",0.4316948024240983,0.43278271911510807,0.452031375070404,0.43439619919846306,0.4305648253722989,0.43629398423607446,0.007969589395911508,4,0.5143299862312355,0.5056977873133482,0.5032717204161714,0.5049494299875411,0.5037803274032119,0.5064058502703016,0.004052914610168157,1.0,2000.0,lbfgs
LogisticRegression,37.85209403038025,1.8415770980480672,0.06987562179565429,0.01750104877534963,,"{'C': 10.0, 'max_iter': 500, 'solver': 'lbfgs'}",0.45117227462859794,0.47211104444563673,0.48789321961828575,0.4421812982498738,0.46862108542687264,0.4643957844738534,0.01611119159941647,1,0.9088546403460275,0.9080530727648611,0.9078864328684803,0.9143516875595271,0.9056558363974906,0.9089603339872772,0.002897376583959058,10.0,500.0,lbfgs
LogisticRegression,35.266996192932126,0.5042761604979878,0.040429306030273435,0.008815795919998058,,"{'C': 10.0, 'max_iter': 1000, 'solver': 'lbfgs'}",0.45117227462859794,0.47211104444563673,0.48789321961828575,0.4421812982498738,0.46862108542687264,0.4643957844738534,0.01611119159941647,1,0.9088546403460275,0.9080530727648611,0.9078864328684803,0.9143516875595271,0.9056558363974906,0.9089603339872772,0.002897376583959058,10.0,1000.0,lbfgs
LogisticRegression,33.588721895217894,0.8585116265870875,0.02077012062072754,0.005172496313209807,,"{'C': 10.0, 'max_iter': 2000, 'solver': 'lbfgs'}",0.45117227462859794,0.47211104444563673,0.48789321961828575,0.4421812982498738,0.46862108542687264,0.4643957844738534,0.01611119159941647,1,0.9088546403460275,0.9080530727648611,0.9078864328684803,0.9143516875595271,0.9056558363974906,0.9089603339872772,0.002897376583959058,10.0,2000.0,lbfgs
SVM,201.87047944068908,1.776373087718835,23.223490381240843,0.9278415688828566,,{'C': 0.01},0.13549941979826832,0.13549941979826832,0.13549941979826832,0.13549941979826832,0.1354938547153528,0.13549830678168523,2.2260331662082856e-06,5,0.13549802871382877,0.13549802871382877,0.13549802871382877,0.13549802871382877,0.13549941979826832,0.13549830693071668,5.564337758223736e-07,0.01,,
SVM,212.3403037071228,8.13334580464523,23.879120111465454,0.5596881429409339,,{'C': 0.1},0.3244482790200744,0.335139180687881,0.32324775007756934,0.31930679959443853,0.3106397690910525,0.32255635569420316,0.007936618121111247,4,0.3421500690779969,0.3376176389555898,0.3300327637206845,0.3377694463611143,0.33629467356625914,0.33677291833632894,0.0039058615805043356,0.1,,
SVM,301.4540638446808,20.421190006869086,23.121741199493407,0.771514317164608,,{'C': 1.0},0.4490209379043985,0.4717796638823253,0.47324715676360724,0.45312013358866005,0.47508930130228216,0.46445143868825467,0.011051972599058537,1,0.6086828444096727,0.5960854949625961,0.6053317239803595,0.6094364883806437,0.6036475613992784,0.60463682262651,0.004774805003434909,1.0,,
SVM,392.54219965934755,56.3615397616046,14.362864923477172,0.45029252831588185,,{'C': 10.0},0.4346399535413901,0.471861312774668,0.4646630277571379,0.4634667423948869,0.4553842882113503,0.4580030649358866,0.0127980535620238,2,0.9628938426448078,0.9631821210479274,0.9616210980429253,0.9645776265996032,0.9626724717895385,0.9629894320249605,0.0009530404055784433,10.0,,
SVM,418.0406967639923,12.621203891769227,12.985515022277832,1.1574783402881914,,{'C': 100.0},0.4065331601198133,0.4395670072002679,0.43426347075513,0.4317418601392284,0.4189038042881145,0.42620186050051084,0.011953473983284927,3,0.9910017303971453,0.9916413223295618,0.9899686006718397,0.990817660185589,0.9904121283784045,0.9907682883925082,0.0005631112509909047,100.0,,
